in_WEEKDAY_11_2
448056.0
463556.0
411145.0
330302.0
260482.0
116641.0
419149.0
378290.0
316371.0
362634.0
269164.0
383854.0
487963.0
391816.0
440656.0
431026.0
161940.0
215929.0
415686.0
22934.0
368281.0
426071.0
431955.0
487896.0
17310.0
297172.0
353424.0
371585.0
434970.0
248075.0
190286.0
311822.0
231464.0
466784.0
139382.0
217883.0
182440.0
437577.0
283153.0
404032.0
425044.0
414500.0
437118.0
455480.0
318266.0
19885.0
419081.0
420819.0
200221.0
262415.0
206105.0
414492.0
400168.0
398651.0
410752.0
255017.0
494751.0
329270.0
324639.0
325077.0
382658.0
186251.0
402185.0
418406.0
338644.0
358716.0
270050.0
401795.0
342136.0
251099.0
217320.0
209323.0
378791.0
83367.0
169108.0
334179.0
460169.0
473175.0
389859.0
519185.0
342792.0
432029.0
345162.0
390518.0
53695.0
209208.0
192006.0
148796.0
70306.0
460004.0
296867.0
338738.0
159536.0
157972.0
360091.0
219275.0
206932.0
268758.0
361724.0
285271.0
122510.0
369153.0
267800.0
411920.0
269661.0
254629.0
184071.0
354325.0
379460.0
433023.0
291429.0
180195.0
327502.0
241591.0
394093.0
278209.0
345934.0
258491.0
262218.0
326467.0
61602.0
275792.0
298674.0
85891.0
287177.0
315391.0
345028.0
339123.0
380872.0
285730.0
347458.0
250288.0
337397.0
333583.0
399605.0
301783.0
30802.0
418400.0
114503.0
140340.0
172257.0
499420.0
463374.0
300422.0
