in_WEEKENDS_HOLIDAY_6_0.2
6268.0
2483.0
433.0
2315.0
3581.0
360.0
4462.0
2308.0
4870.0
204.0
822.0
752.0
2209.0
1174.0
0.0
1501.0
1621.0
696.0
1332.0
1245.0
2785.0
16861.0
1046.0
4374.0
1778.0
381.0
1107.0
898.0
1194.0
555.0
1579.0
567.0
1058.0
2474.0
0.0
326.0
342.0
4343.0
0.0
811.0
3024.0
4304.0
1198.0
1057.0
1940.0
856.0
11788.0
573.0
1984.0
443.0
138.0
632.0
1446.0
5320.0
376.0
5079.0
0.0
4458.0
1779.0
144.0
3532.0
14.0
290.0
10887.0
1175.0
155.0
5.0
439.0
1656.0
669.0
284.0
645.0
1432.0
276.0
695.0
0.0
0.0
6013.0
669.0
699.0
835.0
15507.0
7335.0
2931.0
0.0
451.0
1856.0
785.0
113.0
111.0
3144.0
1319.0
5560.0
216.0
64.0
1307.0
149.0
6202.0
30477.0
1089.0
574.0
2579.0
2672.0
733.0
13887.0
1070.0
1041.0
2708.0
1657.0
868.0
1138.0
298.0
4953.0
5.0
23542.0
5910.0
634.0
113.0
7275.0
233.0
0.0
8296.0
4091.0
27.0
455.0
2144.0
860.0
713.0
2913.0
3043.0
1040.0
1849.0
2082.0
8389.0
580.0
2063.0
14929.0
163.0
415.0
0.0
1859.0
273.0
13696.0
6056.0
