in_WEEKENDS_HOLIDAY_2_2
282.0
301.0
312.0
240.0
183.0
5.0
347.0
343.0
187.0
419.0
160.0
276.0
278.0
272.0
327.0
323.0
166.0
173.0
130.0
0.0
36.0
348.0
133.0
134.0
0.0
286.0
29.0
83.0
185.0
66.0
16.0
76.0
18.0
132.0
0.0
0.0
26.0
137.0
87.0
1.0
16.0
93.0
1.0
232.0
17.0
0.0
232.0
329.0
3.0
66.0
66.0
0.0
238.0
320.0
0.0
88.0
168.0
77.0
0.0
0.0
0.0
66.0
162.0
330.0
0.0
0.0
0.0
169.0
329.0
1.0
18.0
1.0
18.0
64.0
1.0
8.0
238.0
26.0
0.0
132.0
162.0
165.0
163.0
18.0
0.0
1.0
1.0
1.0
0.0
18.0
429.0
47.0
30.0
8.0
489.0
268.0
44.0
271.0
489.0
8.0
13.0
559.0
47.0
163.0
50.0
268.0
300.0
429.0
427.0
20.0
468.0
241.0
238.0
271.0
771.0
271.0
467.0
155.0
281.0
385.0
2.0
316.0
614.0
11.0
413.0
467.0
472.0
155.0
162.0
127.0
153.0
307.0
198.0
232.0
764.0
612.0
3.0
778.0
267.0
12.0
28.0
26.0
301.0
457.0
