,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1403994083404541,0.022544175386799956,0.012186384201049805,0.0026693212495883427,2,sqrt,1,2,100,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7777777777777778,0.7777777777777778,0.6111111111111112,0.3888888888888889,0.6111111111111112,0.6333333333333334,0.14315665251916806,543
1,0.34516210556030275,0.03919389847000487,0.02915844917297363,0.007697300264803297,2,sqrt,1,2,200,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7222222222222222,0.6666666666666666,0.6111111111111112,0.3333333333333333,0.6666666666666666,0.6,0.13788526273323173,1178
2,0.5008493900299072,0.07518166238712906,0.026976680755615233,0.0003089405684722837,2,sqrt,1,2,300,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.7222222222222222,0.7777777777777778,0.6111111111111112,0.3333333333333333,0.6111111111111112,0.6111111111111112,0.1531560972454469,1054
3,0.6065001487731934,0.09892839635605433,0.03791079521179199,0.004178666572507217,2,sqrt,1,2,400,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.7222222222222222,0.6666666666666666,0.6111111111111112,0.3333333333333333,0.6666666666666666,0.6,0.13788526273323173,1178
4,0.5894720554351807,0.049692066983259016,0.03680419921875,0.004084254346912448,2,sqrt,1,2,500,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500}",0.7222222222222222,0.7222222222222222,0.6111111111111112,0.3888888888888889,0.6666666666666666,0.6222222222222221,0.12372809695177826,949
5,0.8124953269958496,0.42751164013741305,0.04036521911621094,0.011663995846956397,2,sqrt,1,3,100,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 100}",0.7777777777777778,0.7777777777777778,0.6111111111111112,0.3888888888888889,0.6666666666666666,0.6444444444444445,0.14315665251916806,273
6,0.6494109630584717,0.4028825710417249,0.03418412208557129,0.016597924210585868,2,sqrt,1,3,200,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 200}",0.7222222222222222,0.7777777777777778,0.6666666666666666,0.3888888888888889,0.6666666666666666,0.6444444444444444,0.134256066373273,404
7,0.5540815353393554,0.1288908782913809,0.035182762145996097,0.005575893555791492,2,sqrt,1,3,300,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 300}",0.6666666666666666,0.7777777777777778,0.5555555555555556,0.3888888888888889,0.6666666666666666,0.611111111111111,0.13146843962443588,1076
8,0.8871595382690429,0.2177149661920469,0.05573720932006836,0.010834504571290642,2,sqrt,1,3,400,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 400}",0.7777777777777778,0.7222222222222222,0.6111111111111112,0.3333333333333333,0.6666666666666666,0.6222222222222222,0.15475986974649023,826
9,1.5012463569641112,0.45003988042843684,0.06312747001647949,0.011379105921270255,2,sqrt,1,3,500,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 500}",0.7222222222222222,0.7777777777777778,0.6111111111111112,0.3333333333333333,0.6666666666666666,0.6222222222222222,0.15475986974649023,826
10,0.37246999740600584,0.15507190442301783,0.024950408935546876,0.007710063620857201,2,sqrt,1,4,100,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 100}",0.6666666666666666,0.7222222222222222,0.5555555555555556,0.3888888888888889,0.6666666666666666,0.6,0.1186342028003479,1178
11,0.43869357109069823,0.1244510763596215,0.02348928451538086,0.004925542496040269,2,sqrt,1,4,200,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 200}",0.7222222222222222,0.7777777777777778,0.6111111111111112,0.3888888888888889,0.6666666666666666,0.6333333333333333,0.134256066373273,554
12,0.3437232971191406,0.01621064283513465,0.021421384811401368,0.0011135148487402815,2,sqrt,1,4,300,"{'classifier__max_depth': 2, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 300}",0.6666666666666666,0.7222222222222222,0.6111111111111112,0.3888888888888889,0.6666666666666666,0.611111111111111,0.11653431646335016,1076
