title,Energy,Protein,Total Fat,Saturated Fat,Cholesterol,Carbohydrates,Dietary Fibres,Sodium
Coca-Cola® Zero Sugar (Medium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
Coca-Cola® Zero Sugar (Large),0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
Sprite® (Small),80.0,0.0,0.0,0.0,0.0,20.0,0.0,47.0
Sprite® (Medium),112.0,0.0,0.0,0.0,0.0,27.0,0.0,65.0
Sprite® (Large),163.0,0.0,0.0,0.0,0.0,40.0,0.0,95.0
Iced MILO® (Small),227.0,7.0,6.0,3.0,4.0,36.0,2.0,132.0
Iced MILO® (Medium),322.0,10.0,9.0,4.0,5.0,51.0,3.0,187.0
Jasmine Green Tea (Small),62.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0
Jasmine Green Tea (Medium),86.0,0.0,0.0,0.0,0.0,21.0,0.0,30.0
Iced Lemon Tea (Small),66.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0
Iced Lemon Tea (Medium),91.0,0.0,0.0,0.0,0.0,22.0,0.0,15.0
100% Pure Orange Juice (Small),193.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0
100% Pure Orange Juice (Junior),145.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0
Low-Fat Hi-Calcium Milk,96.0,7.0,3.0,2.0,10.0,10.0,0.0,98.0
Hot MILO®,192.0,5.0,4.0,2.0,4.0,33.0,2.0,153.0
Hot Tea,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
McCafé® Premium Roast Coffee,14.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
McCafé® Cappuccino,166.0,9.0,9.0,7.0,0.0,13.0,0.0,0.0
McCafé® Latte,182.0,10.0,10.0,7.0,0.0,14.0,0.0,0.0
McCafé Iced Latte,237.0,7.0,8.0,6.0,0.0,36.0,0.0,21.0
Mocha Frappé (Small),456.0,3.0,20.0,10.0,55.0,44.0,2.0,92.0
Mocha Frappé (Medium),582.0,9.0,26.0,18.0,20.0,77.0,1.0,343.0
Caramel Frappé (Small),462.0,3.0,20.0,5.0,55.0,59.0,0.0,95.0
Caramel Frappé (Medium),573.0,9.0,26.0,17.0,20.0,76.0,0.0,390.0
