tap_in_traffic0.2
474.0
450.0
8690.0
271.0
16.0
862.0
7224.0
1364.0
950.0
529.0
1578.0
443.0
31.0
520.0
221.0
1365.0
1143.0
519.0
0.0
419.0
390.0
155.0
811.0
1.0
3731.0
0.0
1627.0
18759.0
1168.0
154.0
349.0
1030.0
1047.0
72.0
1478.0
875.0
3274.0
0.0
127.0
430.0
311.0
918.0
756.0
594.0
0.0
617.0
1090.0
521.0
492.0
594.0
531.0
474.0
3356.0
957.0
2412.0
0.0
404.0
221.0
213.0
1150.0
0.0
72.0
685.0
728.0
43.0
2653.0
1352.0
181.0
469.0
122.0
2592.0
157.0
611.0
0.0
1303.0
281.0
583.0
1820.0
8742.0
774.0
661.0
124.0
977.0
786.0
272.0
344.0
119.0
1693.0
2300.0
435.0
1.0
309.0
3801.0
23.0
312.0
543.0
839.0
280.0
2732.0
630.0
2238.0
817.0
809.0
1110.0
39.0
1652.0
572.0
12.0
1054.0
99.0
5545.0
959.0
409.0
497.0
273.0
390.0
1107.0
523.0
1944.0
628.0
367.0
205.0
312.0
1399.0
144.0
299.0
695.0
581.0
770.0
1492.0
618.0
491.0
0.0
72.0
956.0
0.0
2674.0
