hawker_count2
2
2
4
4
1
1
8
5
1
2
1
1
2
3
6
2
1
1
2
0
11
8
3
3
0
5
11
3
3
1
5
3
2
4
3
7
6
6
4
12
12
2
12
9
10
0
9
10
3
3
2
10
7
9
11
4
11
9
7
13
11
2
6
9
8
13
8
11
8
6
10
4
13
2
3
11
9
14
12
3
1
2
2
14
2
9
9
2
2
12
1
6
1
7
3
2
4
2
3
12
1
1
5
2
5
2
1
3
3
15
2
2
2
3
4
2
1
1
3
3
1
1
2
0
2
2
3
2
2
1
2
0
3
6
4
2
0
4
1
5
5
16
2
1
