tap_out_traffic0.2
199.0
308.0
4468.0
122.0
0.0
609.0
4464.0
1552.0
13739.0
460.0
1204.0
415.0
41.0
258.0
377.0
1229.0
1885.0
1037.0
10.0
445.0
111.0
27.0
1774.0
3.0
1589.0
38.0
3670.0
16431.0
730.0
173.0
253.0
1592.0
629.0
35.0
911.0
752.0
3408.0
0.0
313.0
351.0
161.0
770.0
171.0
291.0
23.0
585.0
490.0
923.0
839.0
146.0
735.0
486.0
1626.0
283.0
1817.0
0.0
356.0
370.0
488.0
1026.0
7.0
182.0
403.0
889.0
52.0
2270.0
1678.0
428.0
1232.0
501.0
3326.0
29.0
135.0
0.0
625.0
223.0
343.0
564.0
4886.0
1054.0
1205.0
252.0
526.0
1411.0
1254.0
536.0
188.0
1296.0
795.0
448.0
4.0
632.0
4814.0
124.0
656.0
1061.0
1054.0
323.0
2988.0
439.0
1508.0
974.0
897.0
666.0
79.0
1139.0
54.0
5.0
1163.0
70.0
8477.0
465.0
1416.0
925.0
645.0
269.0
983.0
272.0
1017.0
152.0
170.0
613.0
2091.0
1463.0
644.0
541.0
507.0
266.0
273.0
827.0
99.0
197.0
0.0
524.0
709.0
19.0
3158.0
