tap_out_traffic2
95400.0
91223.0
60866.0
74887.0
102727.0
34233.0
64307.0
57747.0
107034.0
96973.0
92027.0
65782.0
81638.0
66737.0
75532.0
72358.0
72420.0
76360.0
14660.0
72275.0
77186.0
80571.0
93564.0
10972.0
79407.0
90766.0
70103.0
72848.0
51371.0
41234.0
61677.0
46464.0
74811.0
44804.0
58314.0
26715.0
72332.0
71994.0
71714.0
75940.0
75841.0
72444.0
54191.0
79451.0
10962.0
58841.0
65039.0
47812.0
56493.0
54331.0
77488.0
61092.0
55146.0
79185.0
65733.0
67434.0
62767.0
60171.0
53017.0
77337.0
47471.0
61362.0
62156.0
62734.0
62207.0
53132.0
50440.0
61854.0
39063.0
61544.0
21049.0
52003.0
54699.0
74123.0
60060.0
64225.0
87234.0
60075.0
78223.0
63054.0
57476.0
49904.0
57141.0
44482.0
26002.0
53934.0
65613.0
47547.0
57460.0
48135.0
74914.0
33695.0
121725.0
48878.0
86614.0
11440.0
100592.0
45043.0
74269.0
42314.0
81079.0
35110.0
61801.0
63088.0
85311.0
41153.0
56402.0
54355.0
66252.0
66401.0
122346.0
98235.0
44266.0
70754.0
68828.0
51154.0
52175.0
36817.0
68626.0
74072.0
51234.0
73895.0
61020.0
51753.0
45370.0
44128.0
40652.0
38982.0
58910.0
37469.0
75205.0
56186.0
45539.0
43480.0
57324.0
91716.0
68921.0
