title,address,latitude,longitude,classification,planning_area,pa_population,pa_income,subzone,subzone_population,subzone_income,makan index,region,region_type,population,size,density,24 hours?,property_type
McDonald's Siglap,"55 Siglap Rd, #01-07/08/09 Siglap Centre, Singapore 455871",1.3125941,103.9231451,Medium,Bedok,278640,1.64131E-05,Frankel,34490,0.000215138,6.25,East,OCR,278970,21.69,12861.69,Yes,
McDonald's Geylang East Central,"113 Aljunied Ave 2, #01-01, Singapore 380113",1.3204528,103.8860187,Medium,Geylang,109580,3.78355E-05,Aljunied,41540,0.000113252,6.04,Central,RCR,109500,9.64,11358.92,Yes,
McDonald's Rivervale Mall,"11 Rivervale Cres, #01-27 Rivervale Mall, Singapore 545082",1.3920163,103.9048267,Medium,Sengkang,253120,1.88842E-05,Rivervale,58850,8.19358E-05,6.46,North East,OCR,253250,10.59,23914.07,Yes,Retail
McDonald's Hougang,"Blk 208 Hougang St 21, #01-217, Singapore 530208",1.3585041,103.8863533,Low,Hougang,227540,2.09386E-05,Lorong Ah Soo,32140,0.000152046,5.97,North East,OCR,227610,13.93,16339.55,Yes,HDB
McDonald's Punggol21,"80 Punggol Field, #01-02 Punggol 21 Community Club, Singapore 828815",1.3934992,103.9135328,Medium,Punggol,186270,2.51548E-05,Punggol Field,48850,9.92301E-05,6.39,North East,OCR,186270,9.34,19943.25,No,State
McDonald's Parkway,"1 Marine Parade Central, #01-01 Parkway Centre, Singapore 449408",1.3018671,103.9061067,Medium,Marine Parade,46020,8.78513E-05,Marine Parade,26640,0.00017099,6.13,Central,RCR,46070,6.12,7527.78,No,Retail
McDonald's Sengkang Sports Complex,"57 Anchorvale Rd, #02-03, Singapore 544964",1.3968502,103.8873924,High,Sengkang,253120,1.88842E-05,Anchorvale,50930,9.36826E-05,6.46,North East,OCR,253250,10.59,23914.07,No,State
McDonald's Shell Hougang,"600 Hougang Ave 3, #01-01, Singapore 538846",1.3492383,103.8900661,High,Hougang,227540,2.09386E-05,Tai Seng,13540,0.000379367,5.97,North East,OCR,227610,13.93,16339.55,Yes,
McDonald's Buangkok Square,"Blk 991 Buangkok Link, #01-14, Singapore 530991",1.3845032,103.8817397,Medium,Hougang,227540,2.09386E-05,Trafalgar,49920,8.32723E-05,5.97,North East,OCR,227610,13.93,16339.55,No,HDB
McDonald's Marine Cove,"1000 ECP, #01-05 Marine Cove, Singapore 449876",1.301352,103.9129206,High,Marine Parade,46020,8.78513E-05,East Coast,0,0,6.13,Central,RCR,46070,6.12,7527.78,No,
McDonald's Kallang (Stadium),"200 Stadium Blvd, #01-3669, Singapore 397801",1.305296,103.8819044,High,Kallang,101040,3.88154E-05,Tanjong Rhu,11340,0.000513159,5.96,Central,RCR,101300,9.17,11046.89,Yes,
McDonald's Siglap CC,"BLK 151 Bedok South Road, #01-12 Siglap CC, Singapore 460151",1.3172203,103.9470145,Medium,Bedok,278640,1.64131E-05,Bedok South,48550,0.000109726,6.25,East,OCR,278970,21.69,12861.69,No,HDB
McDonald's Hougang 1,"1 Hougang Street 91, #01-26/39 Hougang 1, Singapore 538692",1.3753774,103.8797023,Medium,Hougang,227540,2.09386E-05,Trafalgar,49920,8.32723E-05,5.97,North East,OCR,227610,13.93,16339.55,No,Retail
McDonald's Serangoon Avenue 3,"267 Serangoon Ave 3, #01-37, Singapore 550267",1.3531873,103.8709527,Medium,Serangoon,118340,4.54084E-05,Serangoon Central,24160,0.000197223,6.1,North East,OCR,118400,10.1,11722.77,Yes,
McDonald's Aperia,"12 Kallang Ave, #01-24 Aperia Mall, Singapore 339511",1.3103444,103.8641272,Medium,Kallang,101040,3.88154E-05,Kallang Bahru,0,0,5.96,Central,RCR,101300,9.17,11046.89,No,Retail
McDonald's Bendemeer,"Block 22 Boon Keng Rd, #01-01, Singapore 330022",1.3190006,103.861742,Low,Kallang,101040,3.88154E-05,Bendemeer,37570,0.000112717,5.96,Central,RCR,101300,9.17,11046.89,Yes,
McDonald's Compassone,"1 Sengkang Square, #B1 - 12 / 13, Singapore 545078",1.3923863,103.8952953,Medium,Sengkang,253120,1.88842E-05,Sengkang Town Centre,61320,7.64705E-05,6.46,North East,OCR,253250,10.59,23914.07,No,Retail
