title,address,latitude,longitude,classification,planning_area,pa_population,pa_income,subzone,subzone_population,subzone_income,makan index,region,region_type,population,size,density,24 hours?,property_type
McDonald's Choa Chu Kang CC,"35 Teck Whye Ave, #01-01 Chua Chu Kang Community Club, Singapore 688892",1.3811344,103.751914,Low,Choa Chu Kang,190330,2.56104E-05,Teck Whye,23980,0.000167762,6.37,West,OCR,190780,6.11,31224.22,Yes,State
McDonald's Clementi Ave 3,"Blk 451 Clementi Ave 3, #01-309, Singapore 120451",1.3124073,103.7656754,Medium,Clementi,94130,4.44334E-05,Clementi Central,14790,0.000290408,6.22,West,OCR,94330,9.49,9939.94,No,HDB
McDonald's SAFRA Yishun,"60 Yishun Ave 4, #01-11 Safra, Yishun 769027",1.4232734,103.840973,High,Yishun,222960,2.09575E-05,Yishun South,42090,0.000103516,6.2,North,OCR,223340,21.24,10515.07,Yes,
McDonald's Clementi Mall,"3155 Commonwealth Avenue West #01-06/07/08/09 The Clementi Mall, Singapore 129588",1.314918,103.7643089,Medium,Clementi,94130,4.44334E-05,Clementi Central,14790,0.000290408,6.22,West,OCR,94330,9.49,9939.94,Yes,Retail
McDonald's Greenridge Shopping Centre,"Blk 524A Jelapang Road #01-02A Greenridge Shopping Centre, Singapore 671524",1.3853755,103.7663006,Medium,Bukit Panjang,137390,3.49293E-05,Saujana,25420,0.000184075,6.31,West,OCR,137730,8.99,15320.36,No,HDB
McDonald's Choa Chu Kang 62,"Blk 623 Choa Chu Kang Street 62, #01-262, Singapore 680623",1.3981564,103.7471165,Low,Choa Chu Kang,190330,2.56104E-05,Yew Tee,39940,0.000121709,6.37,West,OCR,190780,6.11,31224.22,Yes,HDB
McDonald's Jurong East 24,"256 Jurong East St 24, #01-381, Singapore 600256",1.3441045,103.7382863,Low,Jurong East,76560,6.13382E-05,Yuhua East,24150,0.000173227,6.71,West,OCR,76800,17.83,4307.35,Yes,
McDonald's Bukit Batok West,"Blk 152 Bukit Batok Street 11, #01-280, Singapore 650152",1.3478795,103.7443841,Low,Bukit Batok,165160,2.67798E-05,Bukit Batok West,14640,0.000267672,6.13,West,OCR,165280,11.13,14849.96,No,HDB
McDonald's Regal,"3501 Jalan Bukit Merah, #01-01, Singapore 159460",1.2836726,103.8182785,Low,Bukit Merah,149630,2.85721E-05,Bukit Merah,1020,0.004632834,6.06,Central,RCR,150630,14.34,10504.18,Yes,
McDonald's Vista Point,"548 Woodlands Drive 44, Singapore 730548",1.4306343,103.7934851,Low,Woodlands,252510,1.96814E-05,Woodlands South,40550,0.000119026,6.53,North,OCR,252570,13.59,18584.99,No,
McDonald's TradeHub 21,"28 Boon Lay Way, #01-173 Tradehub 21, Singapore 609971",1.3281888,103.7516581,High,Clementi,94130,4.44334E-05,Clementi Central,14790,0.000290408,6.22,West,OCR,94330,9.49,9939.94,No,
McDonald's Bukit Batok,"Blk 632 Bukit Batok Central 01-138/#01-140 / #01-142, Singapore 650632",1.3495284,103.7504166,Medium,Bukit Batok,165160,2.67798E-05,Bukit Batok Central,27260,0.000154096,6.13,West,OCR,165280,11.13,14849.96,Yes,HDB
McDonald's JEM,"50 Jurong Gateway Rd, #01-63, #02-55, Singapore 608549",1.3333971,103.7427873,Medium,Jurong East,76560,6.13382E-05,Jurong Gateway,560,0.0125,6.71,West,OCR,76800,17.83,4307.35,Yes,Retail
McDonald's Jurong Point,"1 Jurong West Central 2, #01-31 Jurong Point, Singapore 648886",1.3398558,103.7064063,Medium,Jurong West,258540,1.92584E-05,Jurong West Central,62460,7.44646E-05,6.35,West,OCR,258700,14.69,17610.62,No,Retail
McDonald's Hillion,"17 Petir Rd, #B1-25/26/27 Hillion Mall, Singapore 678278",1.3784819,103.7632117,Medium,Bukit Panjang,137390,3.49293E-05,Jelebu,30640,0.000161928,6.31,West,OCR,137730,8.99,15320.36,No,Retail
McDonald's Keat Hong,"818 Choa Chu Kang Ave 1, #01-02 Keat Hong Mirage, Singapore 680818",1.3780819,103.7488391,Medium,Choa Chu Kang,190330,2.56104E-05,Keat Hong,38480,0.000121202,6.37,West,OCR,190780,6.11,31224.22,Yes,
McDonald's Bukit Gombak,"374 Bukit Batok Street 31, #01-198/202, Singapore 650374",1.3575525,103.750601,Medium,Bukit Batok,165160,2.67798E-05,Gombak,9890,0.000573037,6.13,West,OCR,165280,11.13,14849.96,Yes,
McDonald's Jcube,"2 Jurong East Central 1, #01-09 JCube, Singapore 609731",1.3330425,103.7401835,Medium,Jurong East,76560,6.13382E-05,Jurong Gateway,560,0.0125,6.71,West,OCR,76800,17.83,4307.35,No,Retail
McDonald's IMM,"2 Jurong East Street 21, #01-18 IMM Building, Singapore 609601",1.3354104,103.7462797,Low,Jurong East,76560,6.13382E-05,Toh Guan,14260,0.000319748,6.71,West,OCR,76800,17.83,4307.35,No,Retail
McDonald's Resorts World Sentosa,"8 Sentosa Gateway, #B1 - 211, 212, 213, 214, Singapore 098138",1.257376,103.8201731,Tourist,Southern Islands,2260,0.001424348,Sentosa,2260,0.003201112,0,Central,CCR,2240,6.07,369.03,No,
McDonald's Choa Chu Kang Lot 1,"10 Choa Chu Kang Ave 4, #01-21 MRT Station. Singpaore, Singapore 689810",1.3852487,103.7443487,Medium,Choa Chu Kang,190330,2.56104E-05,Choa Chu Kang Central,22400,0.000243423,6.37,West,OCR,190780,6.11,31224.22,No,Retail
McDonald's Gek Poh,"762 Jurong West Street 75, #02-250 Gek Poh Shopping Centre, Singapore 640762",1.3489162,103.6976086,Low,Jurong West,258540,1.92584E-05,Yunnan,66500,6.9831E-05,6.35,West,OCR,258700,14.69,17610.62,No,
McDonald's NTU,"Block N 2, 1,#01 76 Nanyang Dr, #08 Nanyang Technological University, Singapore 637331",1.3470369,103.68034,Student,Western Water Catchment,610,0,Murai,610,0,0,West,OCR,560,69.46,8.06,No,
McDonald's WoodGrove,"30 Woodlands Ave 1, #01-06 The Woodgrove, Singapore 739065",1.4295794,103.7813318,Medium,Woodlands,252510,1.96814E-05,Woodgrove,33150,0.00014638,6.53,North,OCR,252570,13.59,18584.99,No,
McDonald's 888 Plaza,"Blk 888 Woodlands Drive 50, #01-737A, Singapore 730888",1.4377241,103.7952735,Low,Woodlands,252510,1.96814E-05,Midview,34650,0.000125339,6.53,North,OCR,252570,13.59,18584.99,No,HDB
McDonald's Woodlands North Plaza,"Blk 883 Woodlands Street 82, #01-468, Singapore 730883",1.442578,103.7911885,Low,Woodlands,252510,1.96814E-05,Midview,34650,0.000125339,6.53,North,OCR,252570,13.59,18584.99,No,HDB
McDonald's Sembawang Shopping Centre,"604 Sembawang Road, Sembawang Shopping Centre, #01-27, Singapore 758459",1.4418355,103.8248907,Medium,Sembawang,108490,4.48404E-05,Sembawang Springs,9690,0.000707271,6.7,North,OCR,108650,12.34,8804.7,No,Retail
McDonald's Yishun Ring Road,"Blk 293 Yishun Street 22, #01-237, Singapore 760293",1.4360915,103.8377479,Low,Yishun,222960,2.09575E-05,Northland,27680,0.000139275,6.2,North,OCR,223340,21.24,10515.07,Yes,HDB
McDonald's Blossom Spring,"461 Yishun Ave 6, #01-03 Blossom Spring@Yishun, Singapore 760461",1.4282704,103.8498645,Medium,Yishun,222960,2.09575E-05,Yishun East,62940,6.51682E-05,6.2,North,OCR,223340,21.24,10515.07,No,
McDonald's Canberra,"133 Canberra View, #01-01/02 03/28, Singapore 750133",1.4429738,103.8306379,Medium,Sembawang,108490,4.48404E-05,Sembawang East,21730,0.000169761,6.7,North,OCR,108650,12.34,8804.7,No,
McDonald's Limbang,"Block 533 Choa Chu Kang Street 51, #01-10 Limbang Shopping Centre, Singapore 680533",1.3922588,103.7431268,Medium,Choa Chu Kang,190330,2.56104E-05,Choa Chu Kang North,31360,0.000155138,6.37,West,OCR,190780,6.11,31224.22,No,
McDonald's LeQuest,"4 Bukit Batok Street 41, #01-42, Singapore 657991",1.3557128,103.7408413,Medium,Bukit Batok,165160,2.67798E-05,Brickworks,27850,0.000132494,6.13,West,OCR,165280,11.13,14849.96,No,
McDonald's Jurong Green CC,"6A Jurong West Ave 1, Jurong Green CC, Singapore 649520",1.3505115,103.7254572,Medium,Jurong West,258540,1.92584E-05,Hong Kah,53160,8.00305E-05,6.35,West,OCR,258700,14.69,17610.62,Yes,
McDonald's Jurong Spring CC,"01 Jurong West Street 52 05, #8 Jurong Spring Community Club, Singapore 649296",1.3483547,103.7183772,Medium,Jurong West,258540,1.92584E-05,Hong Kah,53160,8.00305E-05,6.35,West,OCR,258700,14.69,17610.62,Yes,State
McDonald's Pioneer Mall,"638 Jurong West Street 61, #01-01/02 Pioneer Mall, Singapore 640638",1.3415661,103.6969298,Medium,Jurong West,258540,1.92584E-05,Jurong West Central,62460,7.44646E-05,6.35,West,OCR,258700,14.69,17610.62,Yes,Retail
McDonald's Fairprice Hub,"1 Joo Koon Cir, #01-27/28/29/30/31 FairPrice Hub, Singapore 629117",1.3273406,103.6782616,Medium,Pioneer,0,0,Joo Koon,0,0,0,West,OCR,0,12.1,0,No,
McDonald's Jurong Central Park,"291 Boon Lay Way, Singapore 649849",1.3391576,103.7086677,High,Jurong West,258540,1.92584E-05,Kian Teck,0,0,6.35,West,OCR,258700,14.69,17610.62,Yes,
McDonald's Jurong Bowl,"1 Yuan Ching Rd, Jurong Family Bowl, Singapore 618640",1.3263056,103.7246177,High,Jurong West,258540,1.92584E-05,Taman Jurong,39480,0.000116705,6.35,West,OCR,258700,14.69,17610.62,Yes,
McDonald's Harbour Front Centre,"01-87, #01-88 and #01-89 1, Maritime Square, Harbourfront Centre, Singapore 099253",1.2642175,103.8203582,High,Bukit Merah,149630,2.85721E-05,Maritime Square,4240,0.001500756,6.06,Central,RCR,150630,14.34,10504.18,No,
McDonald's Vivocity,"1 HarbourFront Walk, B2-40/41/42 VivoCity, Singapore 098585",1.2647989,103.8214814,High,Bukit Merah,149630,2.85721E-05,Maritime Square,4240,0.001500756,6.06,Central,RCR,150630,14.34,10504.18,No,
McDonald's Shell Havelock,"548 Havelock Rd, Singapore 169637",1.2900261,103.8325063,High,Bukit Merah,149630,2.85721E-05,Bukit Ho Swee,13850,0.000235687,6.06,Central,RCR,150630,14.34,10504.18,No,
McDonald's Tampines (near CPF Building),"Blk 513 Tampines Central 1, #01-150, Singapore 520513",1.3536087,103.9441485,Medium,Tampines,265690,1.79808E-05,Tampines East,127070,3.31487E-05,6.53,East,OCR,265850,20.89,12726.18,Yes,HDB
McDonald’s Admiralty Place,"678A Woodlands Ave 6, #01-05, Singapore 731678",1.4402264,103.8010912,Medium,Woodlands,252510,1.96814E-05,Woodlands East,98580,4.51965E-05,6.53,North,OCR,252570,13.59,18584.99,No,
