in_WEEKENDS_HOLIDAY_total_2
3476655.0
3549634.0
3119147.0
2643319.0
1920781.0
774698.0
3147441.0
2832754.0
2341820.0
3071270.0
2013691.0
3033978.0
3615973.0
3132572.0
3346196.0
3367947.0
1338243.0
1567069.0
3346770.0
371041.0
3105032.0
3323466.0
3160475.0
3531999.0
323239.0
2365716.0
3007231.0
3091131.0
3424346.0
2149575.0
1457943.0
2654125.0
1834439.0
3528258.0
1057665.0
2024662.0
1186815.0
3240266.0
2288195.0
3550292.0
3407189.0
3395954.0
3757820.0
3378817.0
2262562.0
363106.0
3013645.0
2877781.0
1423175.0
2295811.0
1727368.0
4191012.0
2946450.0
2754871.0
4139114.0
2138547.0
3591710.0
2310202.0
3168259.0
3066158.0
3468694.0
1609518.0
3594173.0
2868592.0
3311242.0
3429951.0
2671886.0
2959734.0
2437534.0
2389531.0
1501569.0
2008359.0
3102238.0
773370.0
1621055.0
2758779.0
3292974.0
3328575.0
3558651.0
3916802.0
2989760.0
3632663.0
2952764.0
3118226.0
513834.0
1371956.0
1131842.0
1297870.0
469234.0
3757667.0
2739590.0
2159784.0
1437809.0
1005030.0
3205089.0
1700149.0
1455871.0
1975240.0
3223362.0
1784903.0
629726.0
2945391.0
1853337.0
3423813.0
1848975.0
1861095.0
1502796.0
2907827.0
3118187.0
2959875.0
2655160.0
1637393.0
2623163.0
2101496.0
3450463.0
2036770.0
2742029.0
1976150.0
2281539.0
2786104.0
652473.0
2044954.0
2669462.0
613266.0
2631271.0
2882170.0
3087445.0
2976160.0
3193241.0
2467522.0
3065680.0
1886772.0
2440752.0
2392513.0
3339152.0
2701797.0
337316.0
3632230.0
1173659.0
1160917.0
1352939.0
3946634.0
3572866.0
2746362.0
