num_stops0.5
21
15
18
11
12
17
18
9
20
12
17
17
11
14
18
17
8
16
2
17
13
19
19
1
15
9
17
13
9
9
12
8
11
6
10
12
20
17
14
12
23
11
20
16
2
15
15
14
15
15
9
15
11
16
21
16
12
27
14
13
3
12
14
29
21
14
12
13
15
14
7
9
14
9
13
18
13
9
16
14
18
10
15
11
10
15
14
26
9
14
19
11
25
16
10
11
15
18
19
17
19
10
16
19
16
20
6
15
16
15
24
19
12
17
11
16
15
11
23
15
9
14
11
8
17
18
10
20
24
14
13
14
5
5
14
17
20
