results,latitude,longitude
Medium,1.293718134,103.8265445
Medium,1.293900638,103.8308894
High,1.295311131,103.8289367
High,1.294826089,103.8178357
Medium,1.293648762,103.8309403
Medium,1.293648762,103.8309403
Medium,1.443338463,103.8255957
High,1.439773876,103.8253793
High,1.438340253,103.8245482
Medium,1.445106331,103.8279323
Medium,1.443808877,103.8264875
Medium,1.437055562,103.8262353
Medium,1.43877496,103.826786
Medium,1.386450802,103.8762347
Medium,1.375126661,103.8822349
Medium,1.387987807,103.8769812
Medium,1.385771401,103.8766902
Medium,1.384250574,103.8787933
Medium,1.386530806,103.8761898
Medium,1.461338754,103.840144
Medium,1.46149858,103.8399714
Medium,1.457628202,103.8359996
Medium,1.459689858,103.8382408
Medium,1.457876303,103.8361255
Medium,1.458703459,103.8384345
Medium,1.358815213,103.9359412
Medium,1.346324736,103.9350085
Medium,1.347345884,103.9300525
Medium,1.353075377,103.9313181
Medium,1.346717383,103.9290039
Medium,1.350539604,103.928534
Medium,1.350438181,103.8717045
Medium,1.348972024,103.8683625
Medium,1.34993697,103.8695629
Medium,1.352406015,103.8749635
Medium,1.353237675,103.8694125
Medium,1.351247888,103.8747507
High,1.314198429,103.7562758
High,1.312813405,103.7562071
High,1.316013273,103.7545107
High,1.316303906,103.7543002
High,1.313122398,103.7560078
High,1.315290094,103.7572251
High,1.355539914,103.6870099
Medium,1.372846958,103.6835552
High,1.351651028,103.6811716
High,1.346641785,103.6840459
Medium,1.344739609,103.6875139
Medium,1.384527384,103.6953914
Medium,1.287632899,103.778563
High,1.292549761,103.7702935
Medium,1.281607808,103.7860598
High,1.293149629,103.768937
Medium,1.285835667,103.7800984
High,1.292934231,103.7686934
Medium,1.25208186,103.8441224
Medium,1.248419101,103.8437998
Medium,1.240682969,103.8355939
Medium,1.23865119,103.8340378
Medium,1.238772641,103.8324431
Medium,1.250836072,103.8272608
Medium,1.307285002,103.6309665
Medium,1.311226605,103.6287367
Medium,1.318207713,103.6320571
Medium,1.299897819,103.6254564
Medium,1.299071974,103.63
High,1.311529837,103.807621
Medium,1.321335894,103.8132574
Medium,1.31635565,103.813221
High,1.310800163,103.8070894
Medium,1.315685144,103.8161204
Low,1.432699866,103.7857788
Low,1.430908346,103.7752268
High,1.426400354,103.7775134
Low,1.430893228,103.7752129
Medium,1.427793105,103.777803
High,1.323058187,103.7543667
High,1.322967449,103.7550538
High,1.323390707,103.7570748
High,1.318795057,103.7575958
High,1.321505128,103.7586081
Medium,1.436867983,103.7978993
Medium,1.438397594,103.7985403
Medium,1.442394113,103.8028495
Low,1.444340363,103.7939491
High,1.308799087,103.8035538
High,1.309716348,103.8058632
High,1.30333418,103.8051826
Medium,1.306792403,103.8101858
Medium,1.310835634,103.8530023
Medium,1.306359192,103.8515675
Medium,1.30657821,103.8516828
Medium,1.310450019,103.8527482
Low,1.372860704,103.8401607
Low,1.373306748,103.8399592
Medium,1.376677065,103.838361
Low,1.370074112,103.8410893
Medium,1.329430162,103.7235125
Medium,1.339404321,103.7229073
Medium,1.339989245,103.7179822
Medium,1.340154735,103.7188118
Medium,1.30851735,103.7642699
Medium,1.311584337,103.759907
Medium,1.309280243,103.7621818
Medium,1.308743748,103.7617377
High,1.297866428,103.8398937
Medium,1.29864667,103.8408992
Medium,1.296663281,103.8427327
High,1.295989651,103.8412619
High,1.362662275,103.9719301
High,1.36352038,103.9715005
High,1.364756653,103.9722965
High,1.362642833,103.9719833
High,1.308143634,103.8382111
High,1.307210468,103.8374168
High,1.30512898,103.8384139
High,1.307427989,103.837394
Medium,1.386480679,103.8967399
Medium,1.392076023,103.9007749
Medium,1.389336348,103.9002572
Medium,1.329872195,103.9019297
Medium,1.32598214,103.9015132
Medium,1.32756438,103.904805
Low,1.36854144,103.8930836
Low,1.368105406,103.8877604
Low,1.368328075,103.8932852
High,1.32872615,103.7683746
High,1.325162117,103.7649437
High,1.327085404,103.7658635
Medium,1.417623787,103.8470616
Medium,1.415600145,103.8424141
Low,1.418844596,103.8448245
Medium,1.391234722,103.9036
Medium,1.389060217,103.9024005
Medium,1.383827437,103.9016837
Medium,1.371953601,103.9563538
Medium,1.3653652,103.9569384
Medium,1.368055259,103.9557672
High,1.315324875,103.8019795
Medium,1.318814033,103.8064765
High,1.312890933,103.8013253
Medium,1.37249734,103.7660294
Medium,1.375348223,103.7696578
High,1.370438076,103.7653064
High,1.34642155,103.9634393
Medium,1.331679804,103.9692006
Medium,1.329965301,103.9658924
Medium,1.425785973,103.8452281
Medium,1.430181701,103.851141
Medium,1.429045941,103.8446216
Medium,1.358389157,103.8946923
Medium,1.354553044,103.8923223
High,1.360447164,103.8975606
Medium,1.373432536,103.9447563
Medium,1.372971971,103.9416731
Medium,1.368993421,103.9491179
Medium,1.322439137,103.6558689
Medium,1.322529091,103.6611881
Medium,1.335711746,103.6458018
Medium,1.333877719,103.6985774
Medium,1.329582747,103.6918507
High,1.332482078,103.6915525
Medium,1.343872989,103.7014299
Medium,1.341139746,103.6984449
Medium,1.336372744,103.7032199
Medium,1.327077374,103.6381601
Medium,1.317961297,103.6429169
Medium,1.319844554,103.6371112
High,1.362888457,103.7677809
High,1.36050027,103.7689927
High,1.346597192,103.7769765
Medium,1.338308772,103.8203823
Medium,1.339030535,103.8209427
Medium,1.337975158,103.8198597
Medium,1.280401574,103.8292786
Medium,1.284299357,103.830518
Medium,1.283450776,103.8353712
Medium,1.375904885,103.958503
High,1.378440595,103.9583852
Medium,1.377761632,103.9573818
Medium,1.276670277,103.8364941
Medium,1.276796066,103.8369163
Medium,1.276744403,103.8377532
Medium,1.416388365,103.7576336
High,1.416175189,103.7567965
High,1.417258379,103.7592224
Medium,1.371650976,103.8979578
Medium,1.364725229,103.8933186
Medium,1.370854893,103.8977272
Medium,1.303785829,103.9049528
Medium,1.30437185,103.9140417
High,1.339389575,103.7608712
Medium,1.341080727,103.7514331
High,1.301682254,103.8247908
High,1.299738447,103.8258681
Low,1.428592432,103.8265459
Medium,1.426940503,103.8253633
Medium,1.348123833,103.7224939
Medium,1.351666671,103.7270839
Medium,1.401045849,103.9098906
Medium,1.401269051,103.9159739
Medium,1.375839128,103.7431959
Low,1.376909491,103.7453205
Medium,1.317950641,103.6671023
Medium,1.308861437,103.667123
Medium,1.326297693,103.6920191
Medium,1.323500732,103.6745086
High,1.299363288,103.7876876
High,1.294254203,103.7983983
Medium,1.430618304,103.828763
Medium,1.435082931,103.8339827
Medium,1.450356834,103.8257267
High,1.457885876,103.8282357
Medium,1.394670133,103.8920541
Medium,1.388298758,103.8892615
Medium,1.41782099,103.9122652
Medium,1.419284863,103.9088808
Medium,1.393599214,103.9103808
Medium,1.399203942,103.9067408
Medium,1.401036819,103.9039876
Medium,1.402541367,103.8979606
Medium,1.372568278,103.8840382
Medium,1.37499003,103.8859822
Medium,1.294166535,103.7801259
High,1.301071995,103.7753361
Medium,1.298262536,103.8560273
Medium,1.299016774,103.8554824
High,1.452788024,103.7962571
High,1.451859887,103.7924561
Medium,1.465277024,103.8085929
Medium,1.465866309,103.8107567
Medium,1.314298734,103.8728282
Medium,1.312707295,103.8706906
High,1.32935032,103.8754726
Medium,1.327977182,103.8766532
High,1.350101669,103.9667602
High,1.352206679,103.9695836
High,1.266336805,103.8237922
High,1.267427391,103.8136714
High,1.311150152,103.7545099
High,1.302634403,103.7611402
High,1.409147525,103.7486882
High,1.408945887,103.751488
Medium,1.413745321,103.8333032
High,1.424298296,103.8409023
Medium,1.381298183,103.8368028
Medium,1.378263353,103.8418094
Medium,1.379741301,103.972658
Medium,1.380716284,103.9760991
Medium,1.446757346,103.8215624
Medium,1.442590674,103.8188614
Medium,1.318473816,103.6299232
Medium,1.336485234,103.6385135
Medium,1.305976525,103.7970566
High,1.311063566,103.795309
Low,1.431063955,103.7904541
High,1.424786541,103.7951625
Medium,1.273397952,103.6311436
Medium,1.271099647,103.6334449
Medium,1.306142317,103.7651726
Medium,1.307006418,103.7706699
Low,1.334055846,103.8464607
Medium,1.333350047,103.8441029
Medium,1.28969743,103.8082695
Medium,1.287477077,103.8052534
Medium,1.40314975,103.816467
Medium,1.397507044,103.8173224
High,1.311874929,103.9356005
High,1.311994857,103.9402729
Medium,1.356247341,103.8533451
Medium,1.35130868,103.8491544
Medium,1.293236243,103.8029039
Medium,1.290253965,103.8058479
Medium,1.443166386,103.8368568
Low,1.431446088,103.8363209
High,1.461374095,103.8086279
High,1.461296812,103.8081475
Low,1.300901731,103.8552631
Medium,1.298531929,103.8509209
Medium,1.443373439,103.7887163
Medium,1.301672686,103.8480362
High,1.403374061,103.7543385
Low,1.437301054,103.7740422
High,1.304795805,103.7771749
Medium,1.396609114,103.7497294
High,1.298232541,103.7649933
High,1.375322962,103.999894
Medium,1.337837952,103.9249737
Medium,1.381921045,103.7479012
Medium,1.292342642,103.8151728
Medium,1.370684263,103.8339079
High,1.292551353,103.8405979
Medium,1.264595964,103.7240673
Medium,1.349000733,103.7489079
Medium,1.3754926,103.7368712
High,1.273258304,103.8029208
Medium,1.31614522,103.7205917
Medium,1.418608956,103.7476856
Medium,1.380933087,103.8938194
Medium,1.300858643,103.8517341
Medium,1.359636109,103.7503772
Medium,1.416502718,103.7109213
High,1.290884746,103.8495159
Medium,1.364035373,103.9443616
Medium,1.31427266,103.7713609
High,1.341981713,103.8692103
Low,1.366339477,103.8591223
Medium,1.289354944,103.8275438
High,1.296159112,103.8304355
Medium,1.406481434,103.9020733
Medium,1.389367215,103.771091
Medium,1.347758552,103.7111799
Medium,1.377528001,103.8936032
Low,1.380744151,103.7512211
Medium,1.408314306,103.8718405
Medium,1.300497741,103.7497745
High,1.301385102,103.8376844
Low,1.342919818,103.7408611
Medium,1.297407538,103.8754381
High,1.306643154,103.8307891
Medium,1.329791401,103.7132992
Medium,1.392309066,103.9817366
Medium,1.456666866,103.81361
Medium,1.291974098,103.7616603
High,1.28533796,103.7968732
Medium,1.446311229,103.8294169
High,1.328142155,103.7177533
Medium,1.318520456,103.8664886
Medium,1.28178928,103.8259896
Medium,1.369423079,103.858177
Medium,1.337269998,103.8628066
Medium,1.371238381,103.8733069
Medium,1.434409262,103.756015
Low,1.345512106,103.7312191
Medium,1.304548064,103.8502244
Medium,1.310773898,103.8728759
Medium,1.383721408,103.7631278
Medium,1.361062628,103.7415235
Medium,1.276405525,103.8252493
Medium,1.353829595,103.7577143
High,1.315334665,103.8334522
Medium,1.322617734,103.7379728
Medium,1.408001153,103.8673389
High,1.335200426,103.7497735
Medium,1.374965387,103.7754358
Medium,1.305448249,103.6594901
Low,1.385096025,103.7602184
Medium,1.362431864,103.8510307
Medium,1.340472872,103.8461425
Medium,1.318717244,103.8711436
Medium,1.376020996,103.8597813
Medium,1.285323793,103.8457767
