results,latitude,longitude
High,1.324708237,103.9545951
High,1.318624252,103.9507936
Medium,1.323470945,103.9478124
Medium,1.318006258,103.9412272
Medium,1.326160469,103.9484893
High,1.32650673,103.9537112
Medium,1.318201165,103.9431108
High,1.318295505,103.9490144
High,1.324658182,103.9530544
Medium,1.318392901,103.9375815
High,1.327201446,103.952413
High,1.315689968,103.9403082
High,1.319043429,103.9489212
High,1.325000599,103.954372
Medium,1.323864004,103.9333986
Medium,1.319846291,103.9393168
Medium,1.322625781,103.9378158
High,1.321654334,103.9492683
High,1.318640998,103.9501557
High,1.322687103,103.9500855
Medium,1.317526597,103.9367415
Medium,1.311692882,103.8866095
Medium,1.318309202,103.887754
Medium,1.31596088,103.8881484
Medium,1.315333479,103.8852234
Medium,1.311191394,103.8808485
Medium,1.315272182,103.884401
Medium,1.313565354,103.8785786
Medium,1.312788899,103.8791941
Medium,1.31503871,103.8832653
Medium,1.308529027,103.8829526
Medium,1.313838358,103.8775761
Medium,1.31508422,103.8835467
Medium,1.311312223,103.8831425
Medium,1.314887231,103.8826162
Medium,1.311353018,103.8818889
Medium,1.312598519,103.8780471
Medium,1.314792163,103.8916315
Medium,1.311252167,103.877862
Medium,1.317025371,103.8813904
Medium,1.314313918,103.8779332
Medium,1.317292622,103.8813333
Medium,1.313268357,103.8822117
Medium,1.312421316,103.879414
Medium,1.313152618,103.8872596
Medium,1.313765249,103.8828291
Medium,1.311610952,103.8859651
Medium,1.316256438,103.8900686
Medium,1.306341146,103.8844582
Medium,1.313721762,103.8785311
Medium,1.311594399,103.8801273
Medium,1.312863561,103.8765818
Medium,1.312309134,103.8872539
Medium,1.315333479,103.8852234
Medium,1.313295954,103.8795432
Medium,1.313232723,103.8867577
High,1.350904891,103.8325617
High,1.354465624,103.8365073
High,1.350277778,103.8325306
High,1.344206166,103.8378747
High,1.352523078,103.834249
High,1.355786261,103.8278195
High,1.342718816,103.8369593
High,1.353595996,103.8393086
High,1.3563002,103.8270572
High,1.35313814,103.8350077
Medium,1.357574287,103.8257554
High,1.351791434,103.8317935
High,1.352691631,103.8323665
High,1.35341661,103.8355472
High,1.356020674,103.835339
High,1.353469387,103.8376481
High,1.355873283,103.8328142
Medium,1.358461806,103.8262819
High,1.355438789,103.8293066
High,1.353034986,103.8351323
