in_WEEKENDS_HOLIDAY_working_0.5
393703.0
868924.0
204327.0
188916.0
359015.0
31563.0
203607.0
133039.0
361581.0
48691.0
101835.0
230082.0
135479.0
117699.0
73747.0
754618.0
112042.0
106875.0
155410.0
85694.0
384335.0
818728.0
491204.0
320556.0
81761.0
76794.0
122828.0
463719.0
243410.0
94765.0
256066.0
110945.0
140511.0
73910.0
59254.0
120037.0
74507.0
283490.0
551541.0
168730.0
231823.0
487391.0
245151.0
257349.0
191852.0
85694.0
615857.0
258725.0
128869.0
337870.0
97475.0
225621.0
120569.0
230709.0
297757.0
590213.0
139119.0
319495.0
484899.0
85782.0
217102.0
10104.0
146359.0
788315.0
476723.0
219840.0
73043.0
205137.0
169469.0
406365.0
67320.0
411292.0
451312.0
23898.0
144627.0
104625.0
205695.0
396167.0
203295.0
154407.0
187092.0
896426.0
380267.0
476826.0
865.0
201191.0
200143.0
82254.0
76988.0
109009.0
165170.0
69502.0
351953.0
33125.0
916823.0
141815.0
39623.0
543947.0
941059.0
175772.0
210538.0
174301.0
732366.0
172169.0
680320.0
132225.0
144901.0
282122.0
231474.0
269261.0
114045.0
27061.0
405590.0
364540.0
854039.0
541344.0
158419.0
125781.0
376222.0
141484.0
957.0
496740.0
164755.0
11746.0
104035.0
196465.0
138434.0
60865.0
228704.0
100618.0
74294.0
117984.0
144900.0
249289.0
544246.0
259183.0
116071.0
801545.0
120443.0
231136.0
231136.0
173253.0
882024.0
297382.0
