,BusStopCode,RoadName,Description,Latitude,Longitude
517,14151,Telok Blangah Rd,Opp Chr Community Chapel,1.26964765905364,103.8129359412343
518,14159,Telok Blangah Rd,Bef Chr Community Chapel,1.26994046445496,103.81315419081787
519,14161,Telok Blangah Rd,Telok Blangah Stn,1.27075866533548,103.81009913005327
520,14169,Telok Blangah Rd,Opp Telok Blangah Stn,1.27118550385957,103.80941810434497
521,14171,Telok Blangah Rd,Opp Yeo's Bldg,1.27145959833005,103.80654857059398
522,14179,Telok Blangah Rd,Yeo's Bldg,1.27188454577735,103.80630000533797
523,14189,Telok Blangah Rd,Aft Alexandra Rd,1.27269303340787,103.80398363214624
524,14191,Depot Rd,Blk 105 CP,1.28121833300943,103.81211444400743
525,14199,Depot Rd,Blk 118,1.28131676735406,103.81275056370772
526,14201,Depot Rd,Blk 110,1.28167307267242,103.80914683892263
527,14209,Depot Rd,Aft Hewlett Packard,1.28176397706369,103.80958869712056
528,14211,Depot Rd,ISS Intl Sch,1.28161168409316,103.80521877469815
529,14219,Depot Rd,Opp Blk 114,1.28218647936578,103.80684961252827
530,14221,Kg Bahru Rd,Opp St. Teresa's Ch,1.27359332247784,103.82893371728431
531,14229,Kg Bahru Rd,St. Teresa's Ch,1.27370670186653,103.82857888915174
532,14231,Kg Bahru Rd,Keppel DP Blk 519,1.27100999999332,103.82667222202473
533,14239,Kg Bahru Rd,Opp Keppel DP Blk 519,1.27178138152481,103.8271423936315
534,14241,Henderson Rd,Opp Blk 1,1.27914353103301,103.8168725087535
535,14249,Henderson Rd,Blk 1,1.279267,103.8173
536,14259,Telok Blangah Cres,Blk 11,1.27784501068205,103.81865821941
537,14269,Telok Blangah Cres,Blk 10,1.27758480623244,103.81999451121168
538,14271,Telok Blangah Way,Al-Amin Mque,1.27568194286532,103.81914854048932
539,14279,Telok Blangah Way,Blk 25,1.27591552267791,103.81920892602811
540,14281,Telok Blangah Way,Safra Mt Faber,1.27699671573899,103.81804377490617
541,14291,Telok Blangah Way,Blk 27,1.27468440821038,103.82132649422054
542,14299,Telok Blangah Way,Opp Blk 27,1.27488820445716,103.82127132943862
543,14309,Telok Blangah Rise,Blk 41,1.27128899958763,103.82302593897191
544,14319,Telok Blangah Rise,Blk 28,1.273483,103.820637
545,14329,Telok Blangah St 32,Blk 67,1.274547,103.809425
546,14331,Telok Blangah Hts,Opp Blk 70B,1.27694611110347,103.8110680555484
547,14339,Telok Blangah Hts,Blk 70A,1.276660654539,103.81124504785828
548,14341,Telok Blangah Hts,Opp Blk 59,1.2759338888633,103.81347388887318
549,14349,Telok Blangah Hts,Blk 59,1.27579029839825,103.81339813671549
550,14351,Telok Blangah Dr,Aft Blk 48,1.27275000000424,103.81036111111034
551,14359,Telok Blangah Dr,Blk 50,1.27289055599998,103.81035027797056
552,14369,Depot Rd,The Interlace,1.28153635758335,103.80365927155157
553,14379,Lower Delta Rd,Blk 40,1.27243833303297,103.82379361102515
554,14381,Bt Purmei Ave,Blk 109,1.27413014152159,103.82554290547176
555,14389,Bt Purmei Ave,Opp Blk 109,1.27428160509375,103.82500895193466
556,14391,Telok Blangah Hts,Opp Blk 85,1.27790999999895,103.80858611110148
557,14399,Telok Blangah Hts,Blk 85,1.27763662023223,103.80858552939208
558,14471,Depot Rd,Blk 114,1.28201169102423,103.80664978771298
559,14489,Telok Blangah Rise,Blk 36 Mkt/FC,1.272377,103.82159
560,14491,Telok Blangah Dr,Opp Telok Blangah Mkt/FC,1.27278805556375,103.8079488888896
561,14499,Telok Blangah Dr,Telok Blangah Mkt/FC,1.27291305557456,103.8078211111249
562,14501,Telok Blangah St 31,OPP BLK 91A,1.27687216148362,103.80648081848618
563,14509,Telok Blangah St 31,BLK 92B,1.275651111,103.8068061
