num_stops0.2
3
3
3
2
1
4
5
3
7
2
5
4
2
4
4
6
2
2
1
2
3
1
4
1
3
1
4
4
1
2
3
3
6
1
3
2
7
0
2
2
3
2
4
6
1
4
3
5
1
2
1
3
3
2
5
0
3
5
1
4
1
2
4
6
1
3
3
2
5
3
3
2
1
0
3
6
1
2
6
3
3
2
3
3
1
2
4
7
3
2
2
2
6
3
2
4
2
3
2
3
3
4
2
5
2
4
2
1
2
1
10
3
2
5
2
3
6
3
5
3
3
2
3
2
4
4
4
2
5
6
2
2
0
2
5
1
5
