num_stops1
70
59
51
40
50
46
58
33
51
50
61
61
50
55
65
54
40
71
4
48
57
73
79
3
50
54
65
40
34
35
44
25
52
36
40
26
76
52
50
42
74
54
67
37
4
67
58
48
50
43
48
63
52
63
61
58
43
73
51
50
41
38
55
76
73
58
54
52
43
57
17
36
53
47
55
67
73
32
66
45
58
35
42
22
19
46
59
66
27
66
56
35
73
66
41
29
57
56
66
45
68
40
58
62
65
57
34
61
47
59
66
64
43
44
42
54
53
42
81
54
51
46
38
49
34
47
36
54
78
43
62
36
16
20
45
65
65
